artistName,artistID
Elvis Costello,artist01
Elvis Costello & The Attractions,artist02
Tiffany Page,artist03
Lissie,artist04
Paul McCartney,artist05
Joe Echo,artist06
The Breakers,artist07
The Coronas,artist08
Crowded House,artist09
Joshua Radin,artist10
Cocktail Slippers,artist11
"Crosby, Stills & Nash",artist12
The Len Price 3,artist13
Paul McCartney & Eric Clapton,artist14
Noah And The Whale,artist15
Noel Gallagher's High Flying Birds,artist16
Pearl Jam,artist17
Tom Petty And The Heartbreakers,artist18
Bruce Springsteen,artist19
Madness,artist20
Spector,artist21
Miles Kane,artist22
Tom Petty,artist23
Biffy Clyro,artist24
Elbow,artist25
Oasis,artist26
Thunderclap Newman,artist27
2080,artist28
C418,artist29
Glen Porter,artist30
Makeup And Vanity Set,artist31
Phaeleh ft. Soundmouse,artist32
Solar Fields,artist33
Bonobo,artist34
Slugabed,artist35
Emancipator,artist36
Brian Blade & The Fellowship Band,artist37
Boom Bip,artist38
Disasterpeace,artist39
Little People,artist40
The Glitch Mob,artist41
Vangelis,artist42
Cell,artist43
Jay Haze,artist44
Chris Christodoulou,artist45
Prefuse 73,artist46
Ben Prunty,artist47
Retro Family,artist48
Metaform,artist49
I Monster,artist50
Ludique,artist51
Edit,artist52
Zero 7,artist53
Miles Davis,artist54
The National,artist55
DJ Shadow,artist56
Berry Weight,artist57
London Grammar,artist58
Sigur Rós,artist59
Iván Torrent,artist60
Johnny Cash,artist61
Pretty Lights,artist62
Phutureprimitive,artist63
Proem,artist64
Blockhead,artist65
Trifonic,artist66
Jon Hopkins,artist67
Koreless,artist68
she,artist69
Caribou,artist70
Joe Satriani,artist71
Easily Embarrassed,artist72
Ryuichi Sakamoto,artist73
Starscream,artist74
Photek,artist75
Burial,artist76
Richard Devine,artist77
µ-Ziq,artist78
Ghosting Season,artist79
Bluetech,artist80
MiM0SA,artist81
Wax Tailor,artist82
Flume,artist83
The Flashbulb,artist84
Apparat,artist85
Ochre,artist86
Handsome Boy Modeling School,artist87
Mogwai,artist88
Symbion Project,artist89
STS9,artist90
Nightmares On Wax,artist91
Snooze,artist92
Hol Baumann,artist93
Johann Sebastian Bach,artist94
The Film Score Orchestra,artist95
Ludwig van Beethoven,artist96
Ferdinand Lang & His Orchestra,artist97
Ennio Morricone,artist98
Wolfgang Amadeus Mozart,artist99
John Eliot Gardiner,artist100
Marian Pivka & The Budapest Symphonic Orchestra,artist101
Antonio Vivaldi,artist102
Movie Best Themes,artist103
Daft Punk,artist104
Daft Punk - Stardust,artist105
Crystal Castles,artist106
SomethingALaMode,artist107
Pendulum,artist108
Data,artist109
Ratatat,artist110
The Prodigy,artist111
Crystal Castles VS Health,artist112
Justice,artist113
Glass Candy,artist114
Moby,artist115
Flairs,artist116
Mirwais,artist117
Passion Pit,artist118
All That Jazz,artist119
KIRAKIRA Quartet,artist120
Joe Hisaishi,artist121
NAKANISHI KIRIKO,artist122
Azumi Inoue,artist123
Aun J-Classic Orchestra,artist124
Peter Breiner,artist125
Jouzuru Hisaishi,artist126
Flute Musicbox Ensemble,artist127
Bill Danoff,artist128
Enter Shikari,artist129
Rammstein,artist130
Birdy Nam Nam,artist131
Das Mörtal,artist132
Dubmood,artist133
Parov Stelar,artist134
Nada Surf,artist135
Massive Attack,artist136
Ez3kiel,artist137
C2C,artist138
Lenny Kravitz,artist139
Chinese Man,artist140
Tycho,artist141
System Of A Down,artist142
Skrillex,artist143
Audioslave,artist144
Michael Jackson,artist145
Guano Apes,artist146
The OneUps,artist147
Linkin Park,artist148
Red Hot Chili Peppers,artist149
Twenty One Pilots,artist150
Sabrepulse,artist151
65daysofstatic,artist152
Mochipet,artist153
Incubus,artist154
MGMT,artist155
Lazerhawk,artist156
Big Gigantic,artist157
Asian Dub Foundation,artist158
GoldFish,artist159
Korn,artist160
Rage Against The Machine,artist161
Mr. Scruff,artist162
Skip the Use,artist163
Iggy Pop,artist164
Queens Of The Stone Age,artist165
Klaxons,artist166
Nirvana,artist167
Infected Mushroom,artist168
Rev Theory,artist169
Pony Pony Run Run,artist170
KISS,artist171
Shaka Ponk,artist172
Rival Sons,artist173
H-Blockx,artist174
The Used,artist175
The Automatic,artist176
Dschinghis Khan,artist177
Limp Bizkit,artist178
Reef,artist179
Kavinsky,artist180
The Crystal Method,artist181
Vinter In Hollywood,artist182
Fatboy Slim,artist183
Scorpions,artist184
AWOLNATION,artist185
The Offspring,artist186
DJ Mehdi,artist187
RJD2,artist188
Escape the Fate,artist189
Gotye,artist190
Marilyn Manson,artist191
Franz Ferdinand,artist192
Electric Universe,artist193
In Flames,artist194
Porter Robinson,artist195
Skillet,artist196
Aphex Twin,artist197
Bill Elm & Woody Jackson,artist198
Jin Roh,artist199
Darren Korb,artist200
Archive,artist201
Michael Kiwanuka,artist202
The Toxic Avenger,artist203
Jace Everett,artist204
Zalza vs. Alk,artist205
Chipzel,artist206
Hyperunknown,artist207
Danny Elfman,artist208
Sun Araw,artist209
amiina,artist210
Murray Gold,artist211
The Album Leaf,artist212
José González,artist213
Shiny Toy Guns,artist214
Buffalo Springfield,artist215
Konami Kukeiha Club,artist216
Klaus Badelt,artist217
Hans Zimmer,artist218
Vitamin String Quartet,artist219
The All-American Rejects,artist220
Sparklehorse,artist221
Sulumi,artist222
Kenji Kawai,artist223
Rise Against,artist224
Sequoia Bisquits,artist225
Yoshida Brothers,artist226
Rodrigo y Gabriela,artist227
Origa,artist228
